ID,Start time,Completion time,Name,Email,Title of Project,"Project Authors (separated by commas): e.g. Jane Doe, John Smith",Project Authors UCL email addresses (separated by commas),"Class module code: e.g. COMP0016, COMP0067, COMP0102",Team number if known,Internal UCL CS Academic Supervisor Name(s): e.g. Dr Graham Roberts,Client Name (if it is an industry IXN project) or External Academic Supervisor Name (research project),"Client Organisation: e.g. Intel, GOSH, Microsoft, NHS England, IBM","Technologies Used (e.g. C#, Azure, Unity, TensorFlow)","Field Area Keywords: e.g. Healthcare, ML, Data Science",Abstract: Not more than 150 words,GitHub or other repository link if it is open source/public,Video presentation link if available (any videos produced during the terms),Project Website URL or URLs with development images/short video clips relating to the project if it is available.,Non-UCL email addresses if you wish to be contacted in the future by IXN partners because of your work.,University
11,10/17/2019 9:24:40,1/25/2020 9:24:40,Seamus Finnigan,seamusfinnigan@hogwarts.ac.uk,Automated Canteen Ordering System using Android,"Rodolphus Lestrange, Hestia Jones, Seamus Finnigan",seamusfinnigan@ucl.ac.uk,COMP0061,11,Anthony Hunter,Microsoft,Microsoft,Theano,Architecture,"The main aim of this project Canteen management system is to provide fast services to their college students, Staffs etc. Usually People have to go to canteen and order the foods and they have to wait in queue for a long time to get the orders. But with the help of this you just have to follow a very simple process to order your stuffs. And you need not to wait in the long queue.

This website will provide the list of different menu list with different categories. User can select any item from canteen and can order for it by using debit card payment or wallet Payment. Wallet Recharging available with debit card details or admin can add amount in user’s wallet.

Users have to register with valid details and OTP which will get sent to their mobile number to login with canteen. Users also get recommendation for food items, Trending food items.

Canteen Management system manages the all details of food items which contains name, description, image, price etc. Admin can view the confirm order and update the status of the order accordingly.

Customer can check their balance, order history and able to delete the order according to order status.",www.github.com/HVGokggB,www.youtube.com/watch?v=IoL8g0W9gAQ,www.ixnprojects.com/clWzTsZwFkN,seamusfinnigan@hogwarts.ac.uk,UCL
12,4/12/2020 9:10:49,7/21/2020 9:10:49,Lily J. Potter,lilyj.potter@hogwarts.ac.uk,RFID Based Automatic Traffic Violation Ticketing,"Millicent Bulstrode, Marlene McKinnon, Lily J. Potter",lilyj.potter@ucl.ac.uk,COMP0061,12,Yun Fu,Accenture,Accenture,Keras,Data Science,"This project deals with the development and implementation of android phone application, which is more effective and simpler than current ticketing system. The “RFID based Public Transport Ticketing System” can be used easily anytime, anywhere and ticket will be available in the customer’s phone in the form of “RFID”. GPS module is used for providing validation of the ticket at the source and deletion at the destination.The process of standing in lines to book the tickets and after that carrying the tickets is curdled and hectic process, hencethis project is proposed as a solution to this problem. The main objective of this project is developing an android application so that passengers can easily book the tickets online directly from their smart phones and a message is send to their own phones, which is enough for travelling a desired distance. For security reasons the information about every user is stored in CLOUD which needs to to be accessed during each time while bookingticket for validation purpose. This change of paradigm benefits from the fact that cloud ticketing system can be accessed through the Internet, since they can be elastically grown or shrunk, providing easier scalability and high availability. The system provides two payment methods. Firstly, a customer can pay using their wallet and secondly user can request ticket checker to transfer some amount in the wallet. The information for each user is stored in a SQL database for security purpose. Also, the ticket checkersare provided with an application to search for the user’s ticket with the ticket number in the cloud database for checking purposes.
",www.github.com/JcrKVSlY,www.youtube.com/watch?v=7rl4c-jr7g0,www.ixnprojects.com/fJAFMdkawTA,lilyj.potter@hogwarts.ac.uk,Bristol
13,10/29/2019 8:37:21,2/6/2020 8:37:21,James Potter,jamespotter@hogwarts.ac.uk,Sports Events Management Platform for Colleges,"Graham Montague, Fabian Prewett, James Potter",jamespotter@ucl.ac.uk,COMP0041,13,Chris Clack,Apple,Apple,Scikit-learn,Architecture,"The project brings the entire manual process of sports event management online which is built using Asp .Net as a front end and SQL Server as a backend. The main purpose of this project is to simplify the process of handling each sports event by providing a web interface for admin and teacher. The admin part consists of multiple modules to initiate with the sports event by adding the type of sport (indoor or outdoor), adding student who are interested in a particular sports activity, adding teachers who will conduct the particular sports activity which is allotted by the admin itself and lastly, viewing the results of sports event held in college. The teacher part has come up with handling all the sports related activity assigned by the admin. Teacher performs various task such as taking the attendance of the students who are registered for a particular sport event, viewing the list of students to mark the winner of each round, generating the results based on multiple rounds won by the student and also can view the 1st, 2nd and 3rd standings of student’s name for the particular sport event.

",www.github.com/VBgbcGOz,www.youtube.com/watch?v=dRFbwjwQ4VE,www.ixnprojects.com/BERyuWaJuae,jamespotter@hogwarts.ac.uk,St. Andrews
14,10/5/2019 9:56:29,1/13/2020 9:56:29,Sirius Black,siriusblack@hogwarts.ac.uk,Secure Online Auction System,"Bloody Baron, Gideon Prewett, Sirius Black",siriusblack@ucl.ac.uk,COMP0025,14,Anthony Hunter,Citi,Citi,Keras,Healthcare,"Online auction however is a different business model where the items are sold through price bidding. Usually bidding have start price and ending time. Potential buyers in auction and the winner is the one who bids the item for highest price. We treat the fraud detection with a binary classification. For buying product online user have to provide his personal details like email address, license number, PAN number etc. Only the valid user will have authority to bid. This prevents various frauds according in online shopping.",www.github.com/QEWcbcWJ,www.youtube.com/watch?v=6s4Bx7mzNkM,www.ixnprojects.com/GeAbdeNUlUd,siriusblack@hogwarts.ac.uk,KCL
15,11/12/2019 8:43:00,2/20/2020 8:43:00,Remus John Lupin,remusjohnlupin@hogwarts.ac.uk,School Security System (SSS) using RFID,"Marcus Flint, Emmeline Vance, Remus John Lupin",remusjohnlupin@ucl.ac.uk,COMP0039,15,Yun Fu,JP Morgan,JP Morgan,Theano,Architecture,"Nowadays, parents are worried about their children because of the high rate of kidnapping. Moreover, parents are having long working hours, so they simply do not have as much time to spend for their children Moreover, they will be persuaded by kidnapper before they enter the school .So, it is the responsibility for the school to take care of their students and they also know in-time and able to send an alert message to their parents if the students are not at the school at school start time. This System ensures safety of the students by making their parents aware about the various important status about their students like in-time, out-time, everything about their arrival. By using RFID technology it is easy track the student thus enhances the security and safety in selected zone. The information about student such as in time and out time from Bus and campus will be recorded to web based system and SMS will be automatically sent to their parents that the student arrived to Bus/Campus safely. SMS will be sent to parents whose children are absent without taking leave. The parents can log into system website and monitor the details of their children. The implementation of School Security System(SSS) via RFID to avoid crime, illegal activates by students and reduce worries among parents.",www.github.com/mCalTAmO,www.youtube.com/watch?v=UnSILVWDKL8,www.ixnprojects.com/RNfPjqmKzrv,remusjohnlupin@hogwarts.ac.uk,UCL
16,9/20/2019 8:15:37,12/29/2019 8:15:37,Peter Pettigrew,peterpettigrew@hogwarts.ac.uk,RFID Parking System Using Android,"Penelope Clearwater, Edgar Bones, Peter Pettigrew",peterpettigrew@ucl.ac.uk,COMP0051,16,Denise Gorse,Bosch,Bosch,MATLAB,Data Science,"This is an advanced Ticketing System for the Parking spots making it very easy to tag a vehicle by using RFID tracker to identify the user and deduct amount from his wallet. This System makes the work easier on both the ends to keep a track as well as pay the amount in a very efficient way. This System uses three Android Applications one for the Parking Spot i.e. the App Attached to RFID Scanner i.e. the Handler who will manage all the Parking Transactions, second used by the admin who is responsible to manage the Parking Spots and the third vehicle user. The Front End uses Android Studio and Back end as SQL Server. When the car enters the parking base, the user has to scan the card and the starting time and the user details is sent to the parking app and when the user takes out the car he scans the card again and if his card has the required amount in his wallet will be deducted directly or he has to pay in cash. The System analyses the start time and the end time and calculates the fare and likewise checks the amount in the user’s wallet and deducts the amount. The user can keep a track of his transaction and likewise the parking app has all the details regarding each vehicle entered to parking spots.

",www.github.com/UrchmqTg,www.youtube.com/watch?v=ElIf2DBrWzU,www.ixnprojects.com/bYVcjnxAEDi,peterpettigrew@hogwarts.ac.uk,Bristol
17,10/21/2019 9:11:05,1/29/2020 9:11:05,Percy Ignatius Weasley,percyignatiusweasley@hogwarts.ac.uk,Quality checking using image processing,"Roger Davies, Dorcas Meadowes, Percy Ignatius Weasley",percyignatiusweasley@ucl.ac.uk,COMP0047,17,Chris Clack,Credit Suisse,Credit Suisse,Apache Spark,Computer Vision,"To check quality of any product is tedious task and time consuming. Here we come up with a system where image of the product is extracted and system will check product quality. Here we will check quality of biscuits. As food product quality is checked with more concern. We will propose a computer vision based quality checking system for the biscuit. System will identify whether biscuits are cracked or not. We will use MATLAB and image acquisition toolbox and image processing tool for implementing this system. User will input image of biscuit and will apply image processing techniques to check whether the biscuits are cracked or not. We use many filtering techniques as images are prone to environmental interference. Biscuit quality parameter values are provided as input to the system. Based on these parameter system will recognize biscuits which are cracked or not. Image will be converted to grayscale image. Grayscale image is further converted to black and white image that is image is digitized to 0 or 1. Image will further undergo many image preprocessing steps. We will apply a methodology to check whether biscuit is in shape or not .if image is not in biscuit pattern, system will mark that biscuit as cracked.",www.github.com/FsnZXSzv,www.youtube.com/watch?v=_066dEkycr4,www.ixnprojects.com/vKJiWRSkKyk,percyignatiusweasley@hogwarts.ac.uk,St. Andrews
18,4/19/2020 8:26:27,7/28/2020 8:26:27,(Bill) William Arthur Weasley,(bill)williamarthurweasley@hogwarts.ac.uk,Orange Fruit Recognition Using Image Segmentation,"Marcus Belby, Benjy Fenwick, (Bill) William Arthur Weasley",(bill)williamarthurweasley@ucl.ac.uk,COMP0041,18,Denise Gorse,Deutsche Bank,Deutsche Bank,Theano,Robotics,"Here we come up with the system where orange color is detected under natural lighting conditions. We will use edge detection method and color detection method. For this methodology we use image segmentation. We will input images of orange which are captured at different lighting condition and will use image segmentation to detect color of the image. We will implement this project in MATLAB image processing toolbox. We implemented edge based detection method which will detect edges of objects and color detection method to detect color of object. In this system user will input image of orange. System will convert the image from RGB to grayscale image for further processing. System will apply many filtering techniques, since image is captured under different illumination condition. We implemented many image pre-processing steps in order to extract the object and to implement edge detection and color detection method on object. Finally system will detect orange color objects and will display as an output.

",www.github.com/BTFgsDxf,www.youtube.com/watch?v=v_kak7kAdNw,www.ixnprojects.com/pTrTWiisciI,(bill)williamarthurweasley@hogwarts.ac.uk,KCL
19,6/24/2020 8:13:11,10/2/2020 8:13:11,Charles Weasley,charlesweasley@hogwarts.ac.uk,Optical character extraction under different illumination conditions,"Salazar Slytherin, Madame Olympe Maxime, Charles Weasley",charlesweasley@ucl.ac.uk,COMP0071,19,Dean Mohammedally,Google,Google,D3,Computer Vision,"This is a project titled Optical character extraction under different illumination conditions by Salazar Slytherin, Madame Olympe Maxime, Charles Weasley. It was supervised by Dean Mohammedally for Google",www.github.com/QayHiqwr,www.youtube.com/watch?v=c09m5f7Gnic,www.ixnprojects.com/GCdMLEPzhGx,charlesweasley@hogwarts.ac.uk,Imperial
20,3/8/2020 9:01:38,6/16/2020 9:01:38,Lee Jordan,leejordan@hogwarts.ac.uk,Filtering political sentiment in social media from textual information,"Godric Gryffindor, Gabrielle Delacour, Lee Jordan",leejordan@ucl.ac.uk,COMP0031,20,Chris Clack,Santander,Santander,Scikit-learn,Algorithms,"This is a project titled Filtering political sentiment in social media from textual information by Godric Gryffindor, Gabrielle Delacour, Lee Jordan. It was supervised by Chris Clack for Santander",www.github.com/FcamtsqQ,www.youtube.com/watch?v=qVIXUhZ2AWs,www.ixnprojects.com/hlRBtrktYnd,leejordan@hogwarts.ac.uk,UCL
21,12/7/2019 8:22:29,3/16/2020 8:22:29,Oliver Wood,oliverwood@hogwarts.ac.uk,Evaluation of Academic Performance of Students with Fuzzy Logic,"Rowena Ravenclaw, Viktor Krum, Oliver Wood",oliverwood@ucl.ac.uk,COMP0057,21,Yun Fu,Intel,Intel,Excel,Healthcare,"This is a project titled Evaluation of Academic Performance of Students with Fuzzy Logic by Rowena Ravenclaw, Viktor Krum, Oliver Wood. It was supervised by Yun Fu for Intel",www.github.com/VkgGZKus,www.youtube.com/watch?v=7Z2XRg3dy9k,www.ixnprojects.com/cwtRDsQvfli,oliverwood@hogwarts.ac.uk,Bristol
22,4/9/2020 9:25:20,7/18/2020 9:25:20,Angelina Johnson,angelinajohnson@hogwarts.ac.uk,E Authentication System Using QR Code & OTP,"Nicholas de Mimsy-Porpington, Petunia Dursley, Angelina Johnson",angelinajohnson@ucl.ac.uk,COMP0020,22,Chris Clack,BenevolentAI,BenevolentAI,Radial Basis Function Neural Network,Robotics,"This is a project titled E Authentication System Using QR Code & OTP by Nicholas de Mimsy-Porpington, Petunia Dursley, Angelina Johnson. It was supervised by Chris Clack for BenevolentAI",www.github.com/pVoXITEi,www.youtube.com/watch?v=kxatzHnl7Q8,www.ixnprojects.com/xLQVpovngAH,angelinajohnson@hogwarts.ac.uk,St. Andrews
23,8/21/2020 9:30:13,11/29/2020 9:30:13,Katie Bell,katiebell@hogwarts.ac.uk,Document Sentiment Analysis Using Opinion Mining,"Cuthbert Binns, Vernon Dursley, Katie Bell",katiebell@ucl.ac.uk,COMP0061,23,Dean Mohammedally,Blockchain,Blockchain,Multilayer Perceptron,Data Science,"This is a project titled Document Sentiment Analysis Using Opinion Mining by Cuthbert Binns, Vernon Dursley, Katie Bell. It was supervised by Dean Mohammedally for Blockchain",www.github.com/nyjTdFxG,www.youtube.com/watch?v=_TfCgeYHiBE,www.ixnprojects.com/dSguLbzTOPA,katiebell@hogwarts.ac.uk,KCL
24,12/17/2019 9:24:50,3/26/2020 9:24:50,Alicia Spinnet,aliciaspinnet@hogwarts.ac.uk,Diabetic Retinopathy Detection From Retinal Images,"Barty Crouch Jr., Dudley Dursley, Alicia Spinnet",aliciaspinnet@ucl.ac.uk,COMP0031,24,Dean Mohammedally,Darktrace,Darktrace,Radial Basis Function Neural Network,Architecture,"This is a project titled Diabetic Retinopathy Detection From Retinal Images by Barty Crouch Jr., Dudley Dursley, Alicia Spinnet. It was supervised by Dean Mohammedally for Darktrace",www.github.com/hJuSCIJB,www.youtube.com/watch?v=xa0oY7LQmtg,www.ixnprojects.com/SfdVHsRzBrR,aliciaspinnet@hogwarts.ac.uk,Imperial
25,7/8/2020 9:22:50,10/16/2020 9:22:50,Lavender Brown,lavenderbrown@hogwarts.ac.uk,Cursor Movement On Object Motion,"Charity Burbage, Marge Dursley, Lavender Brown",lavenderbrown@ucl.ac.uk,COMP0049,25,Chris Clack,Deliveroo,Deliveroo,Caffe,Healthcare,"This is a project titled Cursor Movement On Object Motion by Charity Burbage, Marge Dursley, Lavender Brown. It was supervised by Chris Clack for Deliveroo",www.github.com/AXfolMft,www.youtube.com/watch?v=1aheRpmurAo,www.ixnprojects.com/hpYUsJhenOM,lavenderbrown@hogwarts.ac.uk,UCL
26,9/20/2019 8:32:31,12/29/2019 8:32:31,Parvati Patil,parvatipatil@hogwarts.ac.uk,Crime Rate Prediction Using K Means,"Firenze, Dennis Creevey, Parvati Patil",parvatipatil@ucl.ac.uk,COMP0068,26,Yun Fu,Elvie,Elvie,Caffe,Architecture,"This is a project titled Crime Rate Prediction Using K Means by Firenze, Dennis Creevey, Parvati Patil. It was supervised by Yun Fu for Elvie",www.github.com/acjhwffx,www.youtube.com/watch?v=UN8bJb8biZU,www.ixnprojects.com/IZQTSvfgdxj,parvatipatil@hogwarts.ac.uk,Bristol
27,12/17/2019 9:00:56,3/26/2020 9:00:56,Romilda Vane,romildavane@hogwarts.ac.uk,Cooking Recipe Rating Based On Sentiment Analysis,"Alecto Carrow, Albus Severus Potter, Romilda Vane",romildavane@ucl.ac.uk,COMP0053,27,Anthony Hunter,Snyk,Snyk,Microsoft Cognitive Toolkit,Robotics,"This is a project titled Cooking Recipe Rating Based On Sentiment Analysis by Alecto Carrow, Albus Severus Potter, Romilda Vane. It was supervised by Anthony Hunter for Snyk",www.github.com/URuhtuom,www.youtube.com/watch?v=svEuG_ekNT0,www.ixnprojects.com/jzCecqWTLWm,romildavane@hogwarts.ac.uk,St. Andrews
28,12/24/2019 9:05:52,4/2/2020 9:05:52,Colin Creevey,colincreevey@hogwarts.ac.uk,Brain Tumor Detection Using Image Segmentation,"Amycus Carrow, Scorpius Hyperion Malfoy, Colin Creevey",colincreevey@ucl.ac.uk,COMP0056,28,Dean Mohammedally,Improbable,Improbable,Theano,Data Science,"This is a project titled Brain Tumor Detection Using Image Segmentation by Amycus Carrow, Scorpius Hyperion Malfoy, Colin Creevey. It was supervised by Dean Mohammedally for Improbable",www.github.com/tqCpbeBR,www.youtube.com/watch?v=2u_pZ-SgACk,www.ixnprojects.com/sBktpwTWHsk,colincreevey@hogwarts.ac.uk,KCL
29,11/29/2019 9:31:04,3/8/2020 9:31:04,Cormac McLaggen,cormacmclaggen@hogwarts.ac.uk,Android Smart Ticketing Using,"Helga Hufflepuff, Edward Remus Lupin, Cormac McLaggen",cormacmclaggen@ucl.ac.uk,COMP0038,29,Anthony Hunter,OakNorth Bank,OakNorth Bank,Tableau,Robotics,"This is a project titled Android Smart Ticketing Using by Helga Hufflepuff, Edward Remus Lupin, Cormac McLaggen. It was supervised by Anthony Hunter for OakNorth Bank",www.github.com/lIEFcPBI,www.youtube.com/watch?v=qMGn9T37eR8,www.ixnprojects.com/rVUgpubiYze,cormacmclaggen@hogwarts.ac.uk,UCL
30,4/27/2020 9:50:39,8/5/2020 9:50:39,Minerva McGonagall,minervamcgonagall@hogwarts.ac.uk,Rfid Android Battery Saver System,"Fat Friar, James Sirius Potter, Minerva McGonagall",minervamcgonagall@ucl.ac.uk,COMP0024,30,Chris Clack,NHS,NHS,BigML,Algorithms,"This is a project titled Rfid Android Battery Saver System by Fat Friar, James Sirius Potter, Minerva McGonagall. It was supervised by Chris Clack for NHS",www.github.com/QZJlCixe,www.youtube.com/watch?v=1Nqa4XKkXp4,www.ixnprojects.com/nKrjLAhpqZH,minervamcgonagall@hogwarts.ac.uk,Bristol
31,3/23/2020 8:13:53,7/1/2020 8:13:53,Molly Weasley,mollyweasley@hogwarts.ac.uk,Android Based Encrypted SMS System,"Helena Ravenclaw, Rose Granger-Weasley, Molly Weasley",mollyweasley@ucl.ac.uk,COMP0025,31,Chris Clack,IBM,IBM,Accord.NET,Robotics,"This is a project titled Android Based Encrypted SMS System by Helena Ravenclaw, Rose Granger-Weasley, Molly Weasley. It was supervised by Chris Clack for IBM",www.github.com/eZgRRbrY,www.youtube.com/watch?v=SE_ccFHjL_w,www.ixnprojects.com/fZCfHoSpYFA,mollyweasley@hogwarts.ac.uk,St. Andrews
32,4/7/2020 8:44:40,7/16/2020 8:44:40,Arthur Weasley,arthurweasley@hogwarts.ac.uk,Advanced Tour Guide,"Nymphadora Tonks, Argus Filch, Arthur Weasley",arthurweasley@ucl.ac.uk,COMP0040,32,Dean Mohammedally,Microsoft,Microsoft,MATLAB,Computer Vision,"This is a project titled Advanced Tour Guide by Nymphadora Tonks, Argus Filch, Arthur Weasley. It was supervised by Dean Mohammedally for Microsoft",www.github.com/uqZLERui,www.youtube.com/watch?v=Nuzi7LlSDVo,www.ixnprojects.com/hZiqAIgjFPL,arthurweasley@hogwarts.ac.uk,KCL
33,4/22/2020 8:11:50,7/31/2020 8:11:50,Quirinus Quirrell,quirinusquirrell@hogwarts.ac.uk,Social Media Community Using Optimized Clustering Algorithm,"Pomona Sprout, Poppy Pomfrey, Quirinus Quirrell",quirinusquirrell@ucl.ac.uk,COMP0070,33,Denise Gorse,Accenture,Accenture,ggplot2,Computer Vision,"This is a project titled Social Media Community Using Optimized Clustering Algorithm by Pomona Sprout, Poppy Pomfrey, Quirinus Quirrell. It was supervised by Denise Gorse for Accenture",www.github.com/cttHPthk,www.youtube.com/watch?v=tXqnRMU1fTs,www.ixnprojects.com/NAdjsDWiBJr,quirinusquirrell@hogwarts.ac.uk,Imperial
